epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3681,2.23069,4.60356,1.42994,0.0025,0.86957,0.16111,0.02936,2.04902,3.96339,1.22436,0.00032,0.00032,0.00032
2,64.1963,1.9632,2.7622,1.19797,0.00216,0.95652,0.05966,0.02675,1.75279,3.93105,1.24992,0.00063822,0.00063822,0.00063822
3,97.1338,2.00878,2.56339,1.27641,0.00179,0.86957,0.04996,0.02936,1.654,3.80875,1.37353,0.000934,0.000934,0.000934
4,128.735,2.01251,2.36453,1.32792,0.04314,0.26087,0.14305,0.06202,2.13698,3.44904,1.62009,0.00120734,0.00120734,0.00120734
5,160.751,1.91775,2.47023,1.26596,0.31821,0.64942,0.34368,0.10766,2.25107,2.69852,1.6061,0.00145824,0.00145824,0.00145824
6,197.402,2.35028,2.60807,1.30723,0.50928,0.30435,0.302,0.09218,2.54869,2.91416,1.79568,0.00167,0.00167,0.00167
7,229.481,2.06287,2.11666,1.27937,0.38429,0.3913,0.4116,0.1557,2.15067,2.74863,1.44632,0.001604,0.001604,0.001604
8,262.816,1.97471,2.00291,1.2629,0.34723,0.34695,0.2886,0.14193,2.29308,2.22644,1.75611,0.001538,0.001538,0.001538
9,292.353,1.88951,1.73555,1.28205,0.64932,0.5636,0.57239,0.2359,1.97315,2.99088,1.60107,0.001472,0.001472,0.001472
10,323.054,1.80662,1.5575,1.22153,0.56372,0.65217,0.55149,0.3055,1.97085,2.58498,1.63311,0.001406,0.001406,0.001406
11,351.679,1.6342,1.37393,1.18029,0.76443,0.73913,0.71484,0.36073,1.72469,2.14578,1.45421,0.00134,0.00134,0.00134
12,381.291,1.61217,1.28583,1.17824,0.69207,0.78261,0.71622,0.41145,1.44856,1.55702,1.29478,0.001274,0.001274,0.001274
13,412.513,1.57599,1.21376,1.1489,0.59536,0.6087,0.56993,0.32069,1.68545,2.07471,1.33007,0.001208,0.001208,0.001208
14,442.112,1.54872,1.16692,1.16023,0.77949,0.69565,0.7248,0.42673,1.43816,1.40848,1.20449,0.001142,0.001142,0.001142
15,482.853,1.54966,1.0861,1.1606,0.74497,0.7625,0.76071,0.37248,1.65956,1.42239,1.29086,0.001076,0.001076,0.001076
16,522.304,1.51615,1.0668,1.14885,0.68711,0.73913,0.73554,0.3602,1.55981,1.5518,1.31359,0.00101,0.00101,0.00101
17,552.104,1.30642,0.98837,1.02836,0.66257,0.76871,0.72599,0.4605,1.6097,1.24974,1.3011,0.000944,0.000944,0.000944
18,572.868,1.48166,0.99965,1.10598,0.61605,0.76772,0.72587,0.44192,1.47986,1.17418,1.23943,0.000878,0.000878,0.000878
19,593.678,1.30622,0.91092,1.08528,0.79856,0.69565,0.74065,0.45266,1.61942,1.12146,1.26859,0.000812,0.000812,0.000812
20,616.15,1.1991,0.90091,1.04681,0.88838,0.82609,0.81159,0.52793,1.4284,1.01691,1.27188,0.000746,0.000746,0.000746
21,639.327,1.33048,0.87374,1.08929,0.81573,0.77031,0.77206,0.4857,1.42359,0.94693,1.31759,0.00068,0.00068,0.00068
22,662.437,1.19214,0.84358,1.02022,0.9009,0.79083,0.81176,0.51355,1.42482,0.95643,1.33979,0.000614,0.000614,0.000614
23,683.778,1.20898,0.84199,1.04214,0.81874,0.86957,0.81468,0.5504,1.28346,0.93586,1.25727,0.000548,0.000548,0.000548
24,705.334,1.14755,0.79157,1.0047,0.94442,0.82609,0.8214,0.50695,1.35569,0.99357,1.24369,0.000482,0.000482,0.000482
25,724.707,1.07166,0.75915,0.9853,0.89714,0.82609,0.80625,0.57088,1.24161,0.84912,1.25784,0.000416,0.000416,0.000416
26,744.326,1.10233,0.77235,0.98071,0.9009,0.78261,0.82436,0.52147,1.34469,0.85669,1.34122,0.00035,0.00035,0.00035
27,765.607,0.97146,0.70932,0.92027,0.91458,0.73913,0.78305,0.53068,1.18992,0.90245,1.22052,0.000284,0.000284,0.000284
28,791.215,1.05413,0.73115,0.98207,0.85196,0.82609,0.83091,0.53584,1.27616,0.90812,1.25347,0.000218,0.000218,0.000218
29,816.497,1.02321,0.70065,0.94014,0.93802,0.78261,0.83217,0.56505,1.19372,0.90342,1.22366,0.000152,0.000152,0.000152
30,841.424,0.93746,0.68782,0.89096,0.94728,0.78136,0.83226,0.58162,1.16577,0.89284,1.20674,8.6e-05,8.6e-05,8.6e-05
