epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.26026,0.56245,0.86207,1,0.48967,0.09208,8e-05,8e-05
2,16.1408,0.38341,0.86207,1,0.60343,0.0831683,0.000168317,0.000168317
3,23.552,0.32736,0.96552,1,0.07309,0.0742549,0.000254852,0.000254852
4,31.4616,0.18259,0.96552,1,0.04098,0.0653396,0.000339605,0.000339605
5,39.7244,0.16044,0.96552,1,0.08557,0.0564226,0.000422576,0.000422576
6,47.0804,0.17577,0.96552,1,0.20299,0.0475038,0.000503765,0.000503765
7,54.3363,0.1217,0.96552,1,0.18364,0.0385832,0.000583172,0.000583172
8,62.0945,0.1988,0.96552,1,0.05604,0.0296608,0.000660797,0.000660797
9,69.3771,0.20158,0.96552,1,0.03359,0.0207366,0.00073664,0.00073664
10,76.8798,0.23756,0.93103,1,0.16168,0.0118107,0.000810701,0.000810701
11,84.8665,0.16272,1,1,0.00142,0.00288298,0.00088298,0.00088298
12,92.5848,0.15806,1,1,0.0141,0.0008911,0.0008911,0.0008911
13,100.334,0.12342,0.96552,1,0.05945,0.0008812,0.0008812,0.0008812
14,108.031,0.10644,1,1,0.03017,0.0008713,0.0008713,0.0008713
15,116.142,0.34865,1,1,0.01148,0.0008614,0.0008614,0.0008614
16,124.552,0.26393,1,1,0.0263,0.0008515,0.0008515,0.0008515
17,133.256,0.16095,0.96552,1,0.08368,0.0008416,0.0008416,0.0008416
18,141.52,0.19395,0.93103,1,0.12199,0.0008317,0.0008317,0.0008317
19,149.206,0.30189,0.96552,1,0.06481,0.0008218,0.0008218,0.0008218
20,157.266,0.20363,0.96552,1,0.03834,0.0008119,0.0008119,0.0008119
21,164.893,0.19197,0.96552,1,0.08209,0.000802,0.000802,0.000802
