epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.9981,0.61125,0.85484,1,0.38516,0.09109,9e-05,9e-05
2,37.9638,0.24452,0.95161,1,0.07739,0.0811881,0.000188119,0.000188119
3,56.1844,0.22486,0.96774,1,0.07775,0.0712843,0.000284258,0.000284258
4,74.5469,0.20671,0.96774,1,0.07127,0.0613784,0.000378417,0.000378417
5,93.5224,0.2036,0.98387,1,0.03344,0.0514706,0.000470596,0.000470596
6,112.507,0.1246,0.98387,1,0.05599,0.0415608,0.000560795,0.000560795
7,131.339,0.1118,0.96774,1,0.14142,0.031649,0.000649014,0.000649014
8,149.152,0.13299,0.98387,1,0.03327,0.0217353,0.000735253,0.000735253
9,166.65,0.10757,0.95161,1,0.12648,0.0118195,0.000819512,0.000819512
10,182.852,0.12718,0.98387,1,0.11641,0.00190179,0.000901791,0.000901791
11,212.306,0.19134,0.91935,1,0.43129,0.000901,0.000901,0.000901
12,245.699,0.1079,0.96774,1,0.37799,0.0008911,0.0008911,0.0008911
13,277.609,0.08744,0.95161,1,0.19109,0.0008812,0.0008812,0.0008812
14,309.636,0.18216,0.98387,1,0.27909,0.0008713,0.0008713,0.0008713
15,341.781,0.23771,1,1,0.00206,0.0008614,0.0008614,0.0008614
16,375.057,0.14813,0.98387,1,0.03923,0.0008515,0.0008515,0.0008515
17,401.102,0.15169,0.98387,1,0.06262,0.0008416,0.0008416,0.0008416
18,420.34,0.14291,0.98387,1,0.06102,0.0008317,0.0008317,0.0008317
19,4618.18,0.13622,0.91935,1,0.32181,0.0008218,0.0008218,0.0008218
20,4643.53,0.10392,1,1,0.02274,0.0008119,0.0008119,0.0008119
21,4677.71,0.11426,1,1,0.03338,0.000802,0.000802,0.000802
22,4716.59,0.1011,1,1,0.0126,0.0007921,0.0007921,0.0007921
23,4751.83,0.30311,0.98387,1,0.0877,0.0007822,0.0007822,0.0007822
24,4787.9,0.51243,0.98387,1,0.03114,0.0007723,0.0007723,0.0007723
25,4814.54,0.38613,0.95161,1,0.1241,0.0007624,0.0007624,0.0007624
