epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.86848,0.6206,0.86207,1,0.36993,0.09604,4e-05,4e-05
2,14.0172,0.4304,0.86207,1,0.41318,0.0910882,8.8218e-05,8.8218e-05
3,20.9364,0.39211,0.86207,1,0.32382,0.0861345,0.000134456,0.000134456
4,28.2171,0.2046,0.96552,1,0.14874,0.0811787,0.000178714,0.000178714
5,35.9308,0.23845,0.96552,1,0.07179,0.076221,0.000220992,0.000220992
6,43.7258,0.24571,1,1,0.01675,0.0712613,0.00026129,0.00026129
7,52.0514,0.13176,1,1,0.02862,0.0662996,0.000299608,0.000299608
8,60.0031,0.12607,1,1,0.01081,0.0613359,0.000335946,0.000335946
9,68.3783,0.1805,1,1,0.00583,0.0563703,0.000370304,0.000370304
10,76.807,0.1116,1,1,0.02702,0.0514027,0.000402682,0.000402682
11,84.8236,0.18689,1,1,0.00692,0.0464331,0.00043308,0.00043308
12,92.8578,0.14307,1,1,0.00889,0.0414615,0.000461498,0.000461498
13,101.447,0.07471,1,1,0.00782,0.0364879,0.000487936,0.000487936
14,109.363,0.08827,1,1,0.02249,0.0315124,0.000512394,0.000512394
15,117.531,0.11687,1,1,0.0256,0.0265349,0.000534872,0.000534872
16,125.787,0.13205,0.96552,1,0.12619,0.0215554,0.00055537,0.00055537
