epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,22.1232,0.61447,0.85484,1,0.39184,0.091045,4.5e-05,4.5e-05
2,46.4686,0.25903,0.8871,1,0.18343,0.0810903,9.02975e-05,9.02975e-05
3,69.3568,0.22508,0.96774,1,0.12386,0.0711306,0.000130645,0.000130645
4,90.5426,0.16634,0.93548,1,0.18996,0.061166,0.000166043,0.000166043
5,113.1,0.17845,0.96774,1,0.08076,0.0511965,0.00019649,0.00019649
6,138.057,0.10315,0.96774,1,0.05661,0.041222,0.000221987,0.000221987
7,157.516,0.08968,0.98387,1,0.03897,0.0312425,0.000242535,0.000242535
8,1708.84,0.09172,0.98387,1,0.08691,0.0212581,0.000258133,0.000258133
