epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.5527,0.47875,0.90323,1,0.28712,0.08209,9e-05,9e-05
2,36.0087,0.23032,0.98387,1,0.02672,0.0631832,0.000183168,0.000183168
3,55.4157,0.20417,1,1,0.02232,0.0442745,0.000274456,0.000274456
4,72.7029,0.22231,1,1,0.01192,0.0253639,0.000363863,0.000363863
5,89.62,0.17916,0.98387,1,0.03913,0.00645139,0.000451388,0.000451388
6,107.282,0.16653,0.96774,1,0.0545,0.00047525,0.00047525,0.00047525
7,125.436,0.10949,0.98387,1,0.0751,0.0004703,0.0004703,0.0004703
8,142.676,0.12716,0.96774,1,0.03965,0.00046535,0.00046535,0.00046535
9,163.683,0.07024,0.98387,1,0.06211,0.0004604,0.0004604,0.0004604
10,184.501,0.09467,0.98387,1,0.08568,0.00045545,0.00045545,0.00045545
11,205.901,0.16898,0.96774,1,0.0907,0.0004505,0.0004505,0.0004505
12,225.547,0.05421,0.98387,1,0.04763,0.00044555,0.00044555,0.00044555
13,244.663,0.06947,0.98387,1,0.07161,0.0004406,0.0004406,0.0004406
