epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.06158,0.558,0.86207,1,0.51438,0.09204,4e-05,4e-05
2,17.5983,0.38885,0.86207,1,0.50428,0.0830842,8.41585e-05,8.41585e-05
3,30.1154,0.34185,0.93103,1,0.17877,0.0741274,0.000127426,0.000127426
4,41.2935,0.20008,0.96552,1,0.06115,0.0651698,0.000169802,0.000169802
5,51.4829,0.17341,1,1,0.01183,0.0562113,0.000211288,0.000211288
6,62.9864,0.14095,1,1,0.01026,0.0472519,0.000251883,0.000251883
7,73.7521,0.18007,0.96552,1,0.06171,0.0382916,0.000291586,0.000291586
8,86.4379,0.12587,0.96552,1,0.09655,0.0293304,0.000330399,0.000330399
9,98.3979,0.33007,0.96552,1,0.07986,0.0203683,0.00036832,0.00036832
10,109.589,0.2737,1,1,0.01518,0.0114054,0.000405351,0.000405351
11,121.049,0.16942,1,1,0.01468,0.00244149,0.00044149,0.00044149
12,132.47,0.14639,1,1,0.00986,0.00044555,0.00044555,0.00044555
13,143.001,0.11941,1,1,0.01431,0.0004406,0.0004406,0.0004406
14,155.073,0.13402,1,1,0.00444,0.00043565,0.00043565,0.00043565
15,167.476,0.09762,1,1,0.01546,0.0004307,0.0004307,0.0004307
