epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.6674,0.46187,0.93548,1,0.19178,0.08218,0.00018,0.00018
2,52.2786,0.21784,0.98387,1,0.03263,0.0633627,0.000362674,0.000362674
3,85.8879,0.22583,1,1,0.01156,0.0445378,0.000537824,0.000537824
4,187.256,0.25988,0.98387,1,0.02215,0.0257055,0.00070545,0.00070545
5,281.475,0.26352,0.95161,1,0.23713,0.00686555,0.000865552,0.000865552
6,332.822,0.20816,0.91935,1,0.13308,0.000901,0.000901,0.000901
7,356.978,0.1436,0.98387,1,0.16638,0.0008812,0.0008812,0.0008812
8,381.148,0.22683,0.91935,1,0.35375,0.0008614,0.0008614,0.0008614
9,404.143,0.15794,0.98387,1,0.05241,0.0008416,0.0008416,0.0008416
10,429.777,0.23079,0.98387,1,0.07191,0.0008218,0.0008218,0.0008218
11,453.819,0.224,0.98387,1,0.06159,0.000802,0.000802,0.000802
12,479.239,0.096,0.95161,1,0.14646,0.0007822,0.0007822,0.0007822
13,505.15,0.1284,0.90323,1,0.36607,0.0007624,0.0007624,0.0007624
