epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.869,2.01589,4.13068,1.34494,0.29515,0.34615,0.30709,0.11954,1.93236,2.2274,1.32061,0.000664422,0.000664422,0.000664422
2,338.361,1.90584,1.60776,1.33259,0.41448,0.76923,0.46689,0.19312,1.72971,1.41322,1.39147,0.00128716,0.00128716,0.00128716
3,517.189,2.02903,1.56597,1.40895,0.5972,0.62756,0.61492,0.25613,1.80454,1.2382,1.21178,0.0018659,0.0018659,0.0018659
4,819.987,1.89397,1.41216,1.30458,0.47368,0.53846,0.53292,0.23678,1.6677,1.10451,1.17547,0.001802,0.001802,0.001802
5,1033.95,1.88348,1.38431,1.30387,0.63918,0.53846,0.54932,0.2543,1.45147,1.1805,1.06516,0.001736,0.001736,0.001736
6,1245.95,1.77463,1.24989,1.26537,0.7626,0.76923,0.83322,0.39934,1.31393,0.97396,1.05497,0.00167,0.00167,0.00167
7,1461.7,1.73083,1.20366,1.21122,0.60257,0.88462,0.62131,0.31599,1.43692,1.0032,1.08631,0.001604,0.001604,0.001604
8,1674.01,1.61628,1.18275,1.20819,0.73931,0.84615,0.76244,0.35626,1.39279,0.94077,1.06378,0.001538,0.001538,0.001538
9,1887.62,1.51485,1.05751,1.14574,0.72827,0.84615,0.71992,0.42548,1.24942,0.96781,1.03271,0.001472,0.001472,0.001472
10,2102.82,1.5587,1.04621,1.16684,0.72338,0.76923,0.68242,0.36624,1.31473,1.03337,1.02077,0.001406,0.001406,0.001406
11,2310.29,1.42455,0.98543,1.09566,0.69105,0.73077,0.72935,0.41303,1.37751,0.93254,1.05057,0.00134,0.00134,0.00134
12,2520.34,1.41833,1.01005,1.11511,0.74191,0.88449,0.83427,0.45627,1.28954,0.80841,0.95813,0.001274,0.001274,0.001274
13,2734.61,1.41907,0.95714,1.07128,0.71942,0.92308,0.75657,0.46347,1.09199,0.76732,0.89284,0.001208,0.001208,0.001208
14,2922.38,1.41696,0.94203,1.08927,0.9372,0.80769,0.89223,0.51025,1.34118,0.76551,0.93106,0.001142,0.001142,0.001142
15,3144.13,1.39399,0.88918,1.06098,0.78458,0.84063,0.90521,0.55693,1.24287,0.79439,0.99335,0.001076,0.001076,0.001076
16,3383.95,1.24932,0.87776,1.0407,0.86863,0.96154,0.93831,0.59765,1.05302,0.66953,0.86938,0.00101,0.00101,0.00101
17,3518.79,1.19246,0.84842,0.98285,0.84668,0.88462,0.92806,0.67932,0.94431,0.6926,0.88209,0.000944,0.000944,0.000944
18,3650.38,1.16354,0.76919,0.96249,0.8613,0.95555,0.95439,0.6174,1.02276,0.69594,0.8887,0.000878,0.000878,0.000878
19,3781.4,1.10024,0.74689,0.91889,0.82098,0.88198,0.88882,0.56353,0.96611,0.68212,0.89737,0.000812,0.000812,0.000812
20,3913.25,1.11108,0.73793,0.93853,0.88059,0.88462,0.92974,0.62706,0.99322,0.60893,0.87665,0.000746,0.000746,0.000746
21,4043.95,1.09969,0.7443,0.9261,0.77483,0.84615,0.87352,0.6352,0.93355,0.64457,0.88985,0.00068,0.00068,0.00068
22,4178.65,1.10463,0.72575,0.95954,0.90006,0.92308,0.95313,0.67813,0.91001,0.59192,0.84928,0.000614,0.000614,0.000614
23,4399.03,1.1151,0.68654,0.95836,0.95983,0.9192,0.95314,0.72603,0.86148,0.50936,0.83685,0.000548,0.000548,0.000548
24,4643.66,1.08083,0.67965,0.93826,0.85745,0.92546,0.95253,0.68225,0.91786,0.5512,0.90584,0.000482,0.000482,0.000482
25,4914.85,0.95775,0.62024,0.89979,0.95587,0.92308,0.96342,0.77104,0.75264,0.50654,0.81659,0.000416,0.000416,0.000416
26,5175.61,0.91354,0.60713,0.85184,0.92263,0.91745,0.94524,0.71036,0.84816,0.54074,0.86451,0.00035,0.00035,0.00035
27,5472.03,0.9063,0.62454,0.87913,0.88871,0.92308,0.94497,0.74441,0.81348,0.55612,0.84246,0.000284,0.000284,0.000284
28,5762.39,0.91801,0.61074,0.88503,0.94743,0.88462,0.95763,0.75614,0.75263,0.53476,0.81437,0.000218,0.000218,0.000218
29,6025.18,0.85422,0.56253,0.86288,0.94469,0.88462,0.95062,0.73668,0.81765,0.53667,0.8283,0.000152,0.000152,0.000152
30,6199.16,0.85206,0.54357,0.83424,0.94725,0.88462,0.9551,0.75932,0.75927,0.49163,0.82334,8.6e-05,8.6e-05,8.6e-05
