epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.71073,0.61914,0.86207,1,0.37158,0.09602,2e-05,2e-05
2,19.7505,0.42756,0.86207,1,0.41576,0.0910446,4.45545e-05,4.45545e-05
3,29.0925,0.4142,0.86207,1,0.36651,0.0860686,6.8614e-05,6.8614e-05
4,39.3208,0.26681,0.89655,1,0.27719,0.0810922,9.21785e-05,9.21785e-05
5,49.0106,0.23787,0.96552,1,0.11501,0.0761152,0.000115248,0.000115248
6,59.0434,0.24282,0.96552,1,0.07738,0.0711378,0.000137823,0.000137823
7,70.4552,0.12728,0.96552,1,0.09763,0.0661599,0.000159902,0.000159902
8,79.8752,0.12402,0.96552,1,0.04785,0.0611815,0.000181487,0.000181487
9,89.4316,0.1118,1,1,0.00212,0.0562026,0.000202576,0.000202576
10,100.238,0.08912,1,1,0.00123,0.0512232,0.000223171,0.000223171
11,112.455,0.16424,1,1,0.00212,0.0462433,0.00024327,0.00024327
12,126.041,0.11658,1,1,0.00293,0.0412629,0.000262874,0.000262874
13,139.513,0.10839,1,1,0.00129,0.036282,0.000281984,0.000281984
14,151.854,0.10127,1,1,0.00187,0.0313006,0.000300598,0.000300598
15,164.598,0.10442,1,1,0.00175,0.0263187,0.000318718,0.000318718
16,177.185,0.07635,1,1,0.00064,0.0213363,0.000336343,0.000336343
17,188.752,0.0646,1,1,0.00033,0.0163535,0.000353472,0.000353472
18,199.71,0.11116,1,1,0.00139,0.0113701,0.000370106,0.000370106
19,209.246,0.15378,1,1,0.0013,0.00638625,0.000386246,0.000386246
