epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.259,0.54629,0.86364,1,0.44624,0.09403,3e-05,3e-05
2,26.5528,0.35157,0.88636,1,0.32407,0.0870644,6.43565e-05,6.43565e-05
3,39.657,0.29076,0.97727,1,0.15833,0.080098,9.802e-05,9.802e-05
4,52.5126,0.19423,0.95455,1,0.12312,0.073131,0.00013099,0.00013099
5,65.287,0.13281,0.97727,1,0.06247,0.0661633,0.000163268,0.000163268
6,78.0154,0.12859,0.95455,1,0.04584,0.0591949,0.000194853,0.000194853
7,91.243,0.19162,0.95455,1,0.04427,0.0522257,0.000225744,0.000225744
8,104.099,0.13487,0.97727,1,0.06679,0.0452559,0.000255943,0.000255943
9,116.766,0.09809,0.97727,1,0.09377,0.0382854,0.000285448,0.000285448
10,129.933,0.11904,0.97727,1,0.06746,0.0313143,0.000314261,0.000314261
11,142.105,0.17501,0.97727,1,0.04691,0.0243424,0.00034238,0.00034238
12,155.197,0.1744,0.97727,1,0.05238,0.0173698,0.000369806,0.000369806
13,167.868,0.11636,0.97727,1,0.04912,0.0103965,0.00039654,0.00039654
