epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.2618,0.46187,0.93548,1,0.19178,0.08218,0.00018,0.00018
2,38.4074,0.21801,0.98387,1,0.03253,0.0633663,0.000366337,0.000366337
3,56.321,0.22767,1,1,0.01153,0.0445489,0.000548912,0.000548912
4,73.7541,0.26179,0.98387,1,0.02858,0.0257277,0.000727725,0.000727725
5,90.6192,0.26874,0.96774,1,0.1831,0.00690278,0.000902776,0.000902776
6,109.304,0.20303,1,1,0.05114,0.0009505,0.0009505,0.0009505
7,126.57,0.14892,0.98387,1,0.09455,0.0009406,0.0009406,0.0009406
8,145.291,0.17747,0.93548,1,0.18853,0.0009307,0.0009307,0.0009307
9,165.174,0.13869,0.98387,1,0.26705,0.0009208,0.0009208,0.0009208
10,185.54,0.22774,0.96774,1,0.09123,0.0009109,0.0009109,0.0009109
11,203.327,0.20419,0.91935,1,0.32865,0.000901,0.000901,0.000901
12,220.783,0.06845,0.83871,1,1.17312,0.0008911,0.0008911,0.0008911
13,236.117,0.12045,0.93548,1,0.12626,0.0008812,0.0008812,0.0008812
