epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.3493,0.61125,0.85484,1,0.38516,0.09109,9e-05,9e-05
2,40.3228,0.24452,0.95161,1,0.07739,0.0811881,0.000188119,0.000188119
3,69.3327,0.22486,0.96774,1,0.07775,0.0712843,0.000284258,0.000284258
4,100.421,0.20671,0.96774,1,0.07127,0.0613784,0.000378417,0.000378417
5,133.874,0.2036,0.98387,1,0.03344,0.0514706,0.000470596,0.000470596
6,166.038,0.1246,0.98387,1,0.05599,0.0415608,0.000560795,0.000560795
7,198.849,0.1118,0.96774,1,0.14142,0.031649,0.000649014,0.000649014
8,220.695,0.13299,0.98387,1,0.03327,0.0217353,0.000735253,0.000735253
9,239.215,0.10757,0.95161,1,0.12648,0.0118195,0.000819512,0.000819512
10,257.561,0.12718,0.98387,1,0.11641,0.00190179,0.000901791,0.000901791
11,275.682,0.19134,0.91935,1,0.43129,0.000901,0.000901,0.000901
12,294.838,0.1079,0.96774,1,0.37799,0.0008911,0.0008911,0.0008911
13,313.308,0.08744,0.95161,1,0.19109,0.0008812,0.0008812,0.0008812
14,333.188,0.18216,0.98387,1,0.27909,0.0008713,0.0008713,0.0008713
15,353.077,0.23771,1,1,0.00206,0.0008614,0.0008614,0.0008614
16,373.256,0.14813,0.98387,1,0.03923,0.0008515,0.0008515,0.0008515
17,393.983,0.15169,0.98387,1,0.06262,0.0008416,0.0008416,0.0008416
18,413.408,0.14291,0.98387,1,0.06102,0.0008317,0.0008317,0.0008317
19,433.219,0.13622,0.91935,1,0.32181,0.0008218,0.0008218,0.0008218
20,452.238,0.10392,1,1,0.02274,0.0008119,0.0008119,0.0008119
21,484.052,0.11426,1,1,0.03338,0.000802,0.000802,0.000802
22,505.473,0.1011,1,1,0.0126,0.0007921,0.0007921,0.0007921
23,537.302,0.30311,0.98387,1,0.0877,0.0007822,0.0007822,0.0007822
24,566.884,0.51243,0.98387,1,0.03114,0.0007723,0.0007723,0.0007723
25,586.692,0.38613,0.95161,1,0.1241,0.0007624,0.0007624,0.0007624
