epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.3586,0.46187,0.93548,1,0.19178,0.08218,0.00018,0.00018
2,63.4871,0.21801,0.98387,1,0.03253,0.0633663,0.000366337,0.000366337
3,96.1626,0.22767,1,1,0.01153,0.0445489,0.000548912,0.000548912
4,129.932,0.26179,0.98387,1,0.02858,0.0257277,0.000727725,0.000727725
5,156.204,0.26874,0.96774,1,0.1831,0.00690278,0.000902776,0.000902776
6,180.965,0.20303,1,1,0.05114,0.0009505,0.0009505,0.0009505
7,201.774,0.14892,0.98387,1,0.09455,0.0009406,0.0009406,0.0009406
8,228.154,0.17747,0.93548,1,0.18853,0.0009307,0.0009307,0.0009307
9,262.585,0.13869,0.98387,1,0.26705,0.0009208,0.0009208,0.0009208
10,296.611,0.22774,0.96774,1,0.09123,0.0009109,0.0009109,0.0009109
11,331.693,0.20419,0.91935,1,0.32865,0.000901,0.000901,0.000901
12,365.165,0.06845,0.83871,1,1.17312,0.0008911,0.0008911,0.0008911
13,399.595,0.12045,0.93548,1,0.12626,0.0008812,0.0008812,0.0008812
