epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.6533,1.82295,6.06209,1.17331,0.3054,0.30435,0.20655,0.0557,2.36623,2.79848,1.88375,0.000662526,0.000662526,0.000662526
2,128.442,1.91343,2.0156,1.24506,0.40422,0.56522,0.32438,0.11153,2.11621,4.88637,1.57606,0.00128533,0.00128533,0.00128533
3,197.118,1.9297,1.57012,1.28271,0.42186,0.52174,0.40473,0.17122,1.8587,2.58783,1.37729,0.00186413,0.00186413,0.00186413
4,267.586,2.00675,1.65488,1.26204,0.58947,0.21739,0.27177,0.08586,2.0761,1.97376,1.55841,0.001802,0.001802,0.001802
5,334.142,1.84553,1.32336,1.21052,0.40526,0.62241,0.42865,0.19242,1.81436,1.4284,1.36103,0.001736,0.001736,0.001736
6,404.007,1.88512,1.36728,1.25245,0.21107,0.47826,0.20845,0.073,2.10491,1.61418,1.46216,0.00167,0.00167,0.00167
7,475.827,1.8818,1.24682,1.18008,0.44448,0.52174,0.43323,0.18155,1.86155,1.71584,1.34361,0.001604,0.001604,0.001604
8,546.15,1.68599,1.21992,1.1516,0.28475,0.65217,0.36284,0.16484,1.63152,1.29179,1.37633,0.001538,0.001538,0.001538
9,616.835,1.67208,1.15752,1.13096,0.64456,0.73913,0.63057,0.31444,1.6453,1.15263,1.33971,0.001472,0.001472,0.001472
10,689.595,1.6054,1.04253,1.11345,0.38581,0.69565,0.44097,0.163,1.79848,1.25237,1.33017,0.001406,0.001406,0.001406
11,761.507,1.47128,0.93577,1.01602,0.4799,0.60197,0.52855,0.27453,1.5495,1.30256,1.16598,0.00134,0.00134,0.00134
12,832.985,1.51964,1.01319,1.04558,0.77331,0.74168,0.74649,0.3994,1.42892,1.11251,1.14939,0.001274,0.001274,0.001274
13,903.605,1.35048,0.97726,0.94426,0.47272,0.78261,0.60647,0.29478,1.69328,1.27276,1.27146,0.001208,0.001208,0.001208
14,973.964,1.36948,0.92526,0.97468,0.51511,0.56522,0.51656,0.30091,1.52578,1.30883,1.11946,0.001142,0.001142,0.001142
15,1043.26,1.45495,0.90385,0.95668,0.63767,0.56522,0.62321,0.33786,1.61269,1.27347,1.3222,0.001076,0.001076,0.001076
16,1116.24,1.36833,0.86613,0.94812,0.47562,0.86957,0.63081,0.3818,1.36262,1.17032,1.17171,0.00101,0.00101,0.00101
17,1189.67,1.20111,0.84499,0.89652,0.76505,0.70827,0.73402,0.37356,1.54114,1.07939,1.29312,0.000944,0.000944,0.000944
18,1254.27,1.21671,0.77035,0.8635,0.8832,0.69565,0.77592,0.44739,1.39061,1.05095,1.15466,0.000878,0.000878,0.000878
19,1316.91,1.3062,0.81892,0.9421,0.64868,0.82609,0.7552,0.43151,1.34315,1.08918,1.10937,0.000812,0.000812,0.000812
20,1385.62,1.17628,0.76999,0.90021,0.73856,0.78261,0.73573,0.47027,1.32943,1.1302,1.1287,0.000746,0.000746,0.000746
21,1461.57,1.12045,0.71621,0.84659,0.7001,0.78261,0.74674,0.43638,1.28544,1.24874,1.05535,0.00068,0.00068,0.00068
22,1540.98,1.24744,0.73626,0.88287,0.75029,0.82609,0.79014,0.50733,1.28838,1.11544,1.09305,0.000614,0.000614,0.000614
23,1614.51,1.09221,0.69359,0.84745,0.89008,0.82609,0.83841,0.51791,1.24995,1.13419,1.0039,0.000548,0.000548,0.000548
24,1688.86,1.0499,0.67577,0.82397,0.64972,0.86957,0.72859,0.49487,1.24698,1.13595,1.0031,0.000482,0.000482,0.000482
25,1758.82,1.02816,0.64742,0.82388,0.88923,0.73913,0.7998,0.4739,1.29089,1.05471,1.0988,0.000416,0.000416,0.000416
26,1824.37,0.95887,0.62744,0.83309,0.73213,0.86957,0.79505,0.50449,1.24438,1.12034,1.00021,0.00035,0.00035,0.00035
27,1895.68,0.96531,0.61088,0.78191,0.87939,0.73913,0.80344,0.56162,1.20859,1.04952,1.02358,0.000284,0.000284,0.000284
28,1965.05,0.89624,0.59497,0.73588,0.76711,0.86957,0.80806,0.54489,1.20717,1.08131,1.01521,0.000218,0.000218,0.000218
29,2035.35,0.93006,0.55555,0.78151,0.79356,0.82609,0.80997,0.57573,1.17329,1.03592,1.03301,0.000152,0.000152,0.000152
30,2103.89,0.92827,0.60033,0.76905,0.82613,0.82636,0.81882,0.58479,1.17251,1.04431,1.03284,8.6e-05,8.6e-05,8.6e-05
