epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.2128,0.61125,0.85484,1,0.38516,0.09109,9e-05,9e-05
2,43.6154,0.24516,0.95161,1,0.08105,0.0811806,0.000180595,0.000180595
3,63.4721,0.22267,0.96774,1,0.08368,0.0712613,0.00026129,0.00026129
4,84.1514,0.20498,0.98387,1,0.07322,0.0613321,0.000332085,0.000332085
5,103.556,0.19289,1,1,0.02018,0.051393,0.00039298,0.00039298
6,123.854,0.12004,1,1,0.02416,0.041444,0.000443975,0.000443975
7,144.027,0.13075,0.98387,1,0.07714,0.0314851,0.00048507,0.00048507
8,166.547,0.09881,0.98387,1,0.07777,0.0215163,0.000516265,0.000516265
9,191.312,0.08519,0.98387,1,0.0572,0.0115376,0.00053756,0.00053756
10,211.664,0.12706,0.95161,1,0.2776,0.00154896,0.000548955,0.000548955
11,231.119,0.17808,0.98387,1,0.05129,0.000505,0.000505,0.000505
12,252.179,0.2102,0.96774,1,0.08667,0.0004555,0.0004555,0.0004555
13,272.104,0.10317,0.96774,1,0.12165,0.000406,0.000406,0.000406
14,292.312,0.11309,0.98387,1,0.06739,0.0003565,0.0003565,0.0003565
15,311.619,0.14607,0.98387,1,0.04176,0.000307,0.000307,0.000307
