epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.5971,0.54718,0.86364,1,0.45702,0.09406,6e-05,6e-05
2,25.7056,0.33724,0.93182,1,0.2243,0.0871287,0.000128713,0.000128713
3,39.2073,0.29226,0.95455,1,0.1254,0.080196,0.00019604,0.00019604
4,52.2887,0.18237,0.95455,1,0.0483,0.073262,0.000261981,0.000261981
5,65.0318,0.12617,0.97727,1,0.09554,0.0663265,0.000326536,0.000326536
6,77.9966,0.13963,0.93182,1,0.3201,0.0593897,0.000389705,0.000389705
7,91.1732,0.26189,0.95455,1,0.07783,0.0524515,0.000451488,0.000451488
8,103.974,0.14783,0.97727,1,0.06111,0.0455119,0.000511885,0.000511885
9,116.622,0.12187,0.97727,1,0.09783,0.0385709,0.000570896,0.000570896
10,129.647,0.14223,0.97727,1,0.13848,0.0316285,0.000628521,0.000628521
11,142.469,0.14183,0.97727,1,0.06161,0.0246848,0.00068476,0.00068476
12,156.334,0.21818,1,1,0.02384,0.0177396,0.000739613,0.000739613
13,169.395,0.19225,0.95455,1,0.11704,0.0107931,0.00079308,0.00079308
14,182.552,0.16085,1,1,0.04631,0.00384516,0.000845161,0.000845161
15,195.059,0.1495,0.95455,1,0.24599,0.0008614,0.0008614,0.0008614
16,207.649,0.23861,0.97727,1,0.05868,0.0008515,0.0008515,0.0008515
17,220.628,0.17251,0.97727,1,0.02701,0.0008416,0.0008416,0.0008416
18,233.644,0.19894,0.97727,1,0.447,0.0008317,0.0008317,0.0008317
19,246.624,0.16671,0.95455,1,0.84302,0.0008218,0.0008218,0.0008218
20,259.456,0.06643,0.97727,1,0.49029,0.0008119,0.0008119,0.0008119
21,272.22,0.18124,0.97727,1,0.23365,0.000802,0.000802,0.000802
22,285.537,0.21955,0.95455,1,0.098,0.0007921,0.0007921,0.0007921
